,odometer_value,year_produced,engine_fuel,engine_capacity,price_usd
15321,270000,2013,diesel,2.0,12000.0
15322,500000,1989,gasoline,1.8,1000.0
15325,298048,1989,gasoline,1.6,1500.0
15326,182000,2008,gasoline,1.8,6500.0
15332,333333,2000,diesel,1.9,4450.0
15333,258000,2006,diesel,2.0,6600.0
15344,242600,2009,gasoline,1.4,7900.0
15346,533700,1996,diesel,1.9,3150.0
15354,360000,1998,gasoline,1.8,2950.0
15358,450000,1994,diesel,1.9,2200.0
15362,263000,2006,diesel,2.0,6450.0
15369,276000,2005,diesel,2.0,6950.0
15370,356000,2001,diesel,1.9,4990.0
15373,165000,2005,diesel,2.0,5499.0
15375,458000,2001,diesel,2.5,4500.0
15376,350000,1989,gasoline,1.8,680.0
15385,147000,2002,gasoline,1.8,5390.0
15387,151000,2012,gasoline,1.8,10850.0
15388,350000,1992,gasoline,1.8,750.0
15390,298489,1995,gasoline,1.8,2550.0
15392,200000,2016,diesel,1.6,14999.0
15393,204000,2015,diesel,1.6,16800.0
15394,178000,2015,diesel,1.6,16250.0
15395,103000,2012,gasoline,1.4,8750.0
15397,233696,2007,diesel,1.9,6850.0
15399,113000,2017,gasoline,1.4,18250.0
15401,330000,2011,diesel,1.6,9650.0
15403,265000,2007,diesel,2.0,7400.0
15405,360800,2007,diesel,2.0,6700.0
15408,373000,1989,gasoline,1.6,1590.0
15414,380000,1996,diesel,1.9,2600.0
15427,284000,2001,diesel,1.9,5150.0
15429,336000,2002,diesel,1.9,5350.0
15430,366000,2008,diesel,1.9,6950.0
15432,130000,2011,gasoline,1.8,9900.0
15437,333940,1999,diesel,2.5,4200.0
15439,111045,2015,gasoline,1.8,12900.0
15442,399000,2005,diesel,2.0,5390.0
15443,499000,1988,gasoline,1.8,1350.0
15445,92000,2016,gasoline,1.8,16300.0
15450,345,1991,gasoline,1.8,1380.0
15452,127500,2009,gasoline,1.4,8061.74
15453,340000,1990,gasoline,1.6,1500.0
15455,330000,1998,diesel,1.9,2750.0
15458,415000,1990,gasoline,1.6,1300.0
15460,400000,1997,diesel,1.9,3650.0
15461,337300,2002,diesel,2.5,5900.0
15463,141000,2012,gasoline,1.8,10750.0
15464,236000,2009,gasoline,1.8,7450.0
15466,216000,2008,gasoline,1.8,7499.0
15470,460000,1988,gasoline,1.8,950.0
15475,243000,2006,diesel,2.0,7500.0
15478,166564,2014,diesel,1.6,13900.0
15479,219000,2009,diesel,2.0,7390.0
15480,280000,2002,gasoline,1.6,5000.0
15482,340000,2007,diesel,2.0,6800.0
15483,336070,1995,diesel,1.9,2890.0
15485,83000,2010,diesel,2.0,12000.0
15486,160000,2001,gasoline,1.8,4742.47
15487,280000,1996,gasoline,1.8,3100.0
15491,429000,2006,diesel,2.0,7200.0
15492,200000,1989,gasoline,1.8,1600.0
15497,306500,2008,diesel,2.0,7300.0
15498,315000,2005,diesel,1.9,6149.0
15510,300000,1987,diesel,1.6,298.77
15515,370000,1991,gasoline,1.8,800.0
15517,650000,1988,gasoline,1.8,800.0
15520,458000,1997,diesel,1.9,4400.0
15525,318000,2003,gasoline,1.8,5000.0
15526,97000,2014,gasoline,1.8,14900.0
15532,350000,1988,diesel,1.9,1150.0
15533,350000,1993,gasoline,1.8,1800.0
15534,279200,2006,diesel,2.0,5500.0
15536,325000,1989,gasoline,1.8,1450.0
15538,225000,2014,gas,1.4,15400.0
15542,220000,1991,diesel,1.9,1100.0
15544,222222,1990,gasoline,1.8,950.0
15549,250000,1989,gasoline,1.8,1100.0
15554,230000,2007,diesel,2.0,7500.0
15557,412000,1991,gas,2.8,1800.0
15561,202000,2009,gasoline,1.4,8300.0
15562,327000,2000,gasoline,1.6,4300.0
15564,400000,1993,diesel,1.9,1800.0
15575,352000,1998,diesel,1.9,3850.0
15577,345675,1993,gasoline,2.0,1999.0
15586,311213,1994,gas,1.8,2850.0
15596,356000,1992,diesel,1.9,1399.0
15603,240000,2007,diesel,2.0,7300.0
15604,303000,2004,diesel,1.9,5350.0
15610,250000,1997,gasoline,1.8,3000.0
15612,186720,1996,diesel,1.9,3000.0
15614,172000,2009,gasoline,1.4,7200.0
15615,139000,2012,gasoline,1.8,11800.0
15617,615000,1997,diesel,1.9,3800.0
15626,174000,2009,gasoline,1.8,6500.0
15630,470000,1989,diesel,1.9,1350.0
15634,356789,1991,gasoline,1.8,850.0
15637,85000,2011,gasoline,1.8,10150.0
15640,371000,2005,diesel,2.0,6450.0
15641,260000,1997,gasoline,1.6,3000.0
15642,380000,1991,diesel,1.9,2039.27
15646,450000,1989,diesel,1.6,1500.0
15655,500000,1993,diesel,1.9,600.0
15656,321456,1997,gasoline,1.6,2250.0
15659,410,2001,diesel,1.9,4200.0
15664,236052,2010,diesel,1.6,9000.0
15666,322156,2005,diesel,1.9,5850.0
15669,235700,2007,diesel,1.9,7500.0
15673,302000,2008,diesel,2.0,7200.0
15677,250000,2006,diesel,1.9,7500.0
15679,350000,1999,gasoline,1.8,3850.0
15685,345000,1989,gasoline,1.8,600.0
15688,178000,2011,gasoline,1.4,9484.96
15694,350000,1988,gasoline,1.8,800.0
15695,400000,2005,diesel,2.0,6300.0
15696,282000,2001,gasoline,2.0,4200.0
15698,320000,1989,gasoline,1.8,1300.0
15707,253000,2008,diesel,2.0,7000.0
